herb_id,nome_comum,nome_sci,prod_com,ia,form,MdA,planta
1,gervao-branco,Croton glandulosos,Ally,metsulfuron-metilico,seca,B,dicot
1,capim-braquiaria,Brachiaria decumbens,Ally,metsulfuron-metilico,seca,B,monocot
1,guanxuma,Sida rhombifolia,Ally,metsulfuron-metilico,seca,B,dicot
1,capim-humidicola,Brachiaria humidicola,Ally,metsulfuron-metilico,seca,B,monocot
1,capim-brizantao,Brachiaria brizantha,Ally,metsulfuron-metilico,seca,B,monocot
2,arranha-gato,Acacia plumosa,Danado,picloram,liquida,O,dicot
2,espinho-agulha,Barnadesia rosea,Danado,picloram,liquida,O,dicot
2,unha-de-vaca,Bauhinia variegata,Danado,picloram,liquida,O,dicot
2,pau-de-angu,Machaerium aculeatum,Danado,picloram,liquida,O,dicot
2,cipo-de-cobra,Mansoa difficilis,Danado,picloram,liquida,O,dicot
2,ciganinha,Memora peregrina,Danado,picloram,liquida,O,dicot
2,leiteiro,Peschiera fuchsiaefolia,Danado,picloram,liquida,O,dicot
2,aroeirinha,Schinus terebinthifolius,Danado,picloram,liquida,O,dicot
2,camboata,Tapirira guianensis,Danado,picloram,liquida,O,dicot
2,amarelinho,Tecoma stans,Danado,picloram,liquida,O,dicot
3,erva-quente,Spermacoce alata,Garlon 480 BR,tricopir-butolitico,liquida,O,dicot
3,cambara,Lanterna camara,Garlon 480 BR,tricopir-butolitico,liquida,O,dicot
3,assa-peixe-branco,Vernonia polyanthes,Garlon 480 BR,tricopir-butolitico,liquida,O,dicot
3,espinheiro,Acacia farnesiana,Garlon 480 BR,tricopir-butolitico,liquida,O,dicot
3,jurubeba,Solanum paniculatum,Garlon 480 BR,tricopir-butolitico,liquida,O,dicot
3,pindoba,Orbigya phalerata,Garlon 480 BR,tricopir-butolitico,liquida,O,dicot
4,capim-navalha,Paspalum urvillei,Kifix,imazapir + imazapique,seca,B + B,monocot
5,pata-de-vaca,Bauhinia variegata,Planador XT,aminopiralide + picloram + triclopir-butolitico,liquida,O + O + O,dicot
5,cabriteiro,Bauhinia curvula,Planador XT,aminopiralide + picloram + triclopir-butolitico,liquida,O + O + O,dicot
5,chumbinho,Lantana camara,Planador XT,aminopiralide + picloram + triclopir-butolitico,liquida,O + O + O,dicot
5,aromita,Acacia farnesiana,Planador XT,aminopiralide + picloram + triclopir-butolitico,liquida,O + O + O,dicot
5,lobeira,Solanum lycocarpum,Planador XT,aminopiralide + picloram + triclopir-butolitico,liquida,O + O + O,dicot
5,cagaita,Eugenia dysenterica,Planador XT,aminopiralide + picloram + triclopir-butolitico,liquida,O + O + O,dicot
5,cipó-capeta,Doliocarpus dentatus,Planador XT,aminopiralide + picloram + triclopir-butolitico,liquida,O + O + O,dicot
5,guanxuma-branca,Sida glaziovii,Planador XT,aminopiralide + picloram + triclopir-butolitico,liquida,O + O + O,dicot
5,mucunã,Dioclea grandiflora,Planador XT,aminopiralide + picloram + triclopir-butolitico,liquida,O + O + O,dicot
5,joá-bravo,Solanum acculeatissimum,Planador XT,aminopiralide + picloram + triclopir-butolitico,liquida,O + O + O,dicot
5,malva-relógio,Sida acuta cv carpinifolia,Planador XT,aminopiralide + picloram + triclopir-butolitico,liquida,O + O + O,dicot
5,fedegoso-branco,Senna obtusifolia,Planador XT,aminopiralide + picloram + triclopir-butolitico,liquida,O + O + O,dicot
5,fedegoso,Hyptis suaveolens,Planador XT,aminopiralide + picloram + triclopir-butolitico,liquida,O + O + O,dicot
5,erva-quente,Spermacocce latifolia,Planador XT,aminopiralide + picloram + triclopir-butolitico,liquida,O + O + O,dicot
6,guanxuma,Sida santaremnensis,Tordon XT,"2,4-D + aminopiralide ",liquida,O + O,dicot
6,casadinha,Eupatorium squalidum,Tordon XT,"2,4-D + aminopiralide ",liquida,O + O,dicot
6,guanxuma,Sida rhombifolia,Tordon XT,"2,4-D + aminopiralide ",liquida,O + O,dicot
6,guanxuma-branca,Sida glaziovii,Tordon XT,"2,4-D + aminopiralide ",liquida,O + O,dicot
6,assa-peixe-branco,Vernonia polyanthes,Tordon XT,"2,4-D + aminopiralide ",liquida,O + O,dicot
6,carqueja,Baccharis trimera,Tordon XT,"2,4-D + aminopiralide ",liquida,O + O,dicot
6,agriaozinho,Synedrellopsis grisebachii,Tordon XT,"2,4-D + aminopiralide ",liquida,O + O,dicot
6,cheirosa,Hyptis suaveolens,Tordon XT,"2,4-D + aminopiralide ",liquida,O + O,dicot
6,fedegoso-branco,Senna obtusifolia,Tordon XT,"2,4-D + aminopiralide ",liquida,O + O,dicot
6,gervao-branco,Croton glandulosos,Tordon XT,"2,4-D + aminopiralide ",liquida,O + O,dicot
6,malva-branca,Sida cordifolia,Tordon XT,"2,4-D + aminopiralide ",liquida,O + O,dicot
7,assa-peixe-roxo,Vernonia westiniana,Truper,fluorxipir-meptilico + triclopir-butolitico,liquida,O + O,dicot
7,malva-branca,Waltheria indica,Truper,fluorxipir-meptilico + triclopir-butolitico,liquida,O + O,dicot
7,assa-peixe-branco,Vernonia polyanthes,Truper,fluorxipir-meptilico + triclopir-butolitico,liquida,O + O,dicot
7,dormideira,Mimosa pudica,Truper,fluorxipir-meptilico + triclopir-butolitico,liquida,O + O,dicot
7,guanxuma,Sida rhombifolia,Truper,fluorxipir-meptilico + triclopir-butolitico,liquida,O + O,dicot
7,guanxuma,Sida santaremnensis,Truper,fluorxipir-meptilico + triclopir-butolitico,liquida,O + O,dicot
7,caraguata,Eryngium horridum,Truper,fluorxipir-meptilico + triclopir-butolitico,liquida,O + O,dicot
7,casadinha,Eupatorium squalidum,Truper,fluorxipir-meptilico + triclopir-butolitico,liquida,O + O,dicot
8,arranha-gato,Acacia plumosa,Jacare,"2,4-D + picloram",liquida,O + O,dicot
8,vassourinha,Baccharis coridifolia ,Jacare,"2,4-D + picloram",liquida,O + O,dicot
8,carqueja,Baccharis trimera,Jacare,"2,4-D + picloram",liquida,O + O,dicot
8,picão-preto,Bidens pilosa,Jacare,"2,4-D + picloram",liquida,O + O,dicot
8,buva,Conyza bonariensis,Jacare,"2,4-D + picloram",liquida,O + O,dicot
8,capixingui,Croton floribundus,Jacare,"2,4-D + picloram",liquida,O + O,dicot
8,aguapé,Eichhornia crassipes ,Jacare,"2,4-D + picloram",liquida,O + O,dicot
8,mata-pasto ,Eupatorium laevigatum,Jacare,"2,4-D + picloram",liquida,O + O,dicot
8,amendoim-bravo,Euphorbia heterophylla,Jacare,"2,4-D + picloram",liquida,O + O,dicot
8,leiteiro,Peschiera fuchsiaefolia,Jacare,"2,4-D + picloram",liquida,O + O,dicot
8,tanchagem,Plantago major,Jacare,"2,4-D + picloram",liquida,O + O,dicot
8,erva-de-bicho,Polygonum punctatum,Jacare,"2,4-D + picloram",liquida,O + O,dicot
8,samambaia,Pteridium aquilinum,Jacare,"2,4-D + picloram",liquida,O + O,dicot
8,flor-das-almas,Senecio brasiliensis,Jacare,"2,4-D + picloram",liquida,O + O,dicot
8,guanxuma,Sida rhombifolia,Jacare,"2,4-D + picloram",liquida,O + O,dicot
8,lobeira,Solanum lycocarpum,Jacare,"2,4-D + picloram",liquida,O + O,dicot
8,jurubeba,Solanum paniculatum,Jacare,"2,4-D + picloram",liquida,O + O,dicot
8,amor-de-cunha,Solanum rugosum,Jacare,"2,4-D + picloram",liquida,O + O,dicot
8,joá-bravo,Solanum sisymbriifolium,Jacare,"2,4-D + picloram",liquida,O + O,dicot
8,erva-lanceta,Solidago chilensis,Jacare,"2,4-D + picloram",liquida,O + O,dicot
8,tojo,Ulex europaeus,Jacare,"2,4-D + picloram",liquida,O + O,dicot
8,assa-peixe-branco,Vernonia polyanthes,Jacare,"2,4-D + picloram",liquida,O + O,dicot
8,assa-peixe,Vernonia tweediana,Jacare,"2,4-D + picloram",liquida,O + O,dicot
